domain,actual_layer,kv_head,mpc,redundant_fraction
ppl02L_encyclopedic,4,5,0.573571,0.996212
ppl02L_encyclopedic,4,6,0.470441,0.996212
ppl02L_encyclopedic,4,7,0.286763,0.996212
ppl02L_encyclopedic,5,0,0.699422,0.996212
ppl02L_encyclopedic,5,1,0.646337,0.996212
ppl02L_encyclopedic,5,2,0.476882,0.996212
ppl02L_encyclopedic,5,3,0.384250,0.996212
ppl02L_encyclopedic,5,4,0.326765,0.996212
ppl02L_encyclopedic,5,5,0.412001,0.996212
ppl02L_encyclopedic,5,6,0.899760,0.996212
ppl02L_encyclopedic,5,7,0.379601,0.996212
ppl02L_encyclopedic,6,0,0.327656,0.996212
ppl02L_encyclopedic,6,1,0.186493,0.996212
ppl02L_encyclopedic,6,2,0.473042,0.996212
ppl02L_encyclopedic,6,3,0.735120,0.996212
ppl02L_encyclopedic,6,4,0.655377,0.996212
ppl02L_encyclopedic,6,5,0.702505,0.996212
ppl02L_encyclopedic,6,6,0.288458,0.996212
ppl02L_encyclopedic,6,7,0.626702,0.996212
ppl02L_encyclopedic,7,0,0.283368,0.996212
ppl02L_encyclopedic,7,1,0.453611,0.996212
ppl02L_encyclopedic,7,2,0.364043,0.996212
ppl02L_encyclopedic,7,3,0.370598,0.992424
ppl02L_encyclopedic,7,4,0.731379,0.996212
ppl02L_encyclopedic,7,5,0.316428,0.996212
ppl02L_encyclopedic,7,6,0.353750,0.996212
ppl02L_encyclopedic,7,7,0.637545,0.996212
ppl02L_encyclopedic,8,0,0.320119,0.996212
ppl02L_encyclopedic,8,1,0.725153,0.996212
ppl02L_encyclopedic,8,2,0.424214,0.996212
ppl02L_encyclopedic,8,3,0.314322,0.996212
ppl02L_encyclopedic,8,4,0.454587,0.996212
ppl02L_encyclopedic,8,5,0.343557,0.996212
ppl02L_encyclopedic,8,6,0.509561,0.996212
ppl02L_encyclopedic,8,7,0.345449,0.996212
ppl02L_encyclopedic,9,0,0.598967,0.996212
ppl02L_encyclopedic,9,1,0.595696,0.996212
ppl02L_encyclopedic,9,2,0.592693,0.996212
ppl02L_encyclopedic,9,3,0.780319,0.996212
ppl02L_encyclopedic,9,4,0.425504,0.996212
ppl02L_encyclopedic,9,5,0.731920,0.996212
ppl02L_encyclopedic,9,6,0.223544,0.996212
ppl02L_encyclopedic,9,7,0.750230,0.996212
ppl02L_encyclopedic,10,0,0.477121,0.996212
ppl02L_encyclopedic,10,1,0.655572,0.996212
ppl02L_encyclopedic,10,2,0.685671,0.996212
ppl02L_encyclopedic,10,3,0.375237,0.996212
ppl02L_encyclopedic,10,4,0.613669,0.996212
ppl02L_encyclopedic,10,5,0.638090,0.996212
ppl02L_encyclopedic,10,6,0.326669,0.996212
ppl02L_encyclopedic,10,7,0.449332,0.996212
ppl02L_encyclopedic,11,0,0.748807,0.996212
ppl02L_encyclopedic,11,1,0.343938,0.996212
ppl02L_encyclopedic,11,2,0.477763,0.996212
ppl02L_encyclopedic,11,3,0.311796,0.996212
ppl02L_encyclopedic,11,4,0.325470,0.996212
ppl02L_encyclopedic,11,5,0.301796,0.996212
ppl02L_encyclopedic,11,6,0.326119,0.996212
ppl02L_encyclopedic,11,7,0.700079,0.996212
ppl02L_encyclopedic,12,0,0.397126,0.996212
ppl02L_encyclopedic,12,1,0.683629,0.996212
ppl02L_encyclopedic,12,2,0.348343,0.996212
ppl02L_encyclopedic,12,3,0.650421,0.996212
ppl02L_encyclopedic,12,4,0.345262,0.996212
ppl02L_encyclopedic,12,5,0.328227,0.996212
ppl02L_encyclopedic,12,6,0.393550,0.996212
ppl02L_encyclopedic,12,7,0.592494,0.996212
ppl02L_encyclopedic,13,0,0.451019,0.996212
ppl02L_encyclopedic,13,1,0.372634,0.996212
ppl02L_encyclopedic,13,2,0.697467,0.996212
ppl02L_encyclopedic,13,3,0.435220,0.996212
ppl02L_encyclopedic,13,4,0.659766,0.996212
ppl02L_encyclopedic,13,5,0.521099,0.996212
ppl02L_encyclopedic,13,6,0.755788,0.996212
ppl02L_encyclopedic,13,7,0.401570,0.996212
ppl02L_encyclopedic,14,0,0.467976,0.996212
ppl02L_encyclopedic,14,1,0.312098,0.996212
ppl02L_encyclopedic,14,2,0.623770,0.996212
ppl02L_encyclopedic,14,3,0.519311,0.996212
ppl02L_encyclopedic,14,4,0.725685,0.996212
ppl02L_encyclopedic,14,5,0.640224,0.996212
ppl02L_encyclopedic,14,6,0.561867,0.996212
ppl02L_encyclopedic,14,7,0.733517,0.996212
ppl02L_encyclopedic,15,0,0.295227,0.996212
ppl02L_encyclopedic,15,1,0.476233,0.996212
ppl02L_encyclopedic,15,2,0.757352,0.996212
ppl02L_encyclopedic,15,3,0.597870,0.996212
ppl02L_encyclopedic,15,4,0.506830,0.996212
ppl02L_encyclopedic,15,5,0.640689,0.996212
ppl02L_encyclopedic,15,6,0.640639,0.996212
ppl02L_encyclopedic,15,7,0.728769,0.996212
ppl03L_technical,0,0,0.590793,0.996212
ppl03L_technical,0,1,0.552548,0.996212
ppl03L_technical,0,2,0.285157,0.996212
ppl03L_technical,0,3,0.497283,0.996212
ppl03L_technical,0,4,0.368013,0.996212
ppl03L_technical,0,5,0.297852,0.996212
ppl03L_technical,0,6,0.568305,0.996212
ppl03L_technical,0,7,0.270445,0.996212
ppl03L_technical,1,0,0.580266,1.000000
ppl03L_technical,1,1,0.492556,1.000000
ppl03L_technical,1,2,0.397891,1.000000
ppl03L_technical,1,3,0.404046,1.000000
ppl03L_technical,1,4,0.372514,1.000000
ppl03L_technical,1,5,0.420606,1.000000
ppl03L_technical,1,6,0.430198,1.000000
ppl03L_technical,1,7,0.279269,1.000000
ppl03L_technical,2,0,0.336528,0.996212
ppl03L_technical,2,1,0.734481,0.996212
ppl03L_technical,2,2,0.600123,0.996212
ppl03L_technical,2,3,0.616402,0.996212
ppl03L_technical,2,4,0.283859,0.996212
ppl03L_technical,2,5,0.589338,0.996212
ppl03L_technical,2,6,0.467035,0.996212
ppl03L_technical,2,7,0.440162,0.996212
ppl03L_technical,3,0,0.589583,0.996212
ppl03L_technical,3,1,0.352076,0.996212
ppl03L_technical,3,2,0.477758,0.996212
ppl03L_technical,3,3,0.381548,0.996212
ppl03L_technical,3,4,0.660990,0.996212
ppl03L_technical,3,5,0.765220,0.996212
ppl03L_technical,3,6,0.282623,0.996212
ppl03L_technical,3,7,0.345021,0.996212
ppl03L_technical,4,0,0.309968,0.996212
ppl03L_technical,4,1,0.212135,0.996212
ppl03L_technical,4,2,0.749351,0.996212
ppl03L_technical,4,3,0.411942,0.996212
ppl03L_technical,4,4,0.518681,0.996212
ppl03L_technical,4,5,0.589325,0.996212
ppl03L_technical,4,6,0.481553,0.996212
ppl03L_technical,4,7,0.285568,0.996212
ppl03L_technical,5,0,0.708684,0.996212
ppl03L_technical,5,1,0.654476,0.996212
ppl03L_technical,5,2,0.439313,0.996212
